"population","ActiveNoUS","BusNoUS","CarNoUS","ActiveUS","BusUS","CarUS"
10000,0.330318155593926,0.0634510022295924,0.606230842176482,0.0293567931894751,0.00101734698489584,0.969625859825629
10338.7040678862,0.330262548697037,0.0641086638938104,0.605628787409152,0.0293275300934783,0.00103339896258297,0.969639070943939
10688.8801803326,0.330204499772854,0.0647726612760718,0.605022838951074,0.0292982878868337,0.0010497039160744,0.969652008197092
11050.9169001552,0.330143987038406,0.0654430455140979,0.604412967447496,0.0292690664491262,0.00106626582329985,0.969664667727574
11425.2159509506,0.33008098859718,0.0661198679530162,0.603799143449804,0.0292398656585539,0.00108308872446438,0.969677045616982
11812.1926628571,0.330015482440252,0.0668031801415667,0.603181337418182,0.0292106853919073,0.00110017672301464,0.969689137885078
12212.2764334136,0.329947446447454,0.0674930338281829,0.602559519724363,0.0291815255245486,0.00111753398661982,0.969700940488832
12625.9112040283,0.329876858388603,0.0681894809569463,0.601933660654451,0.0291523859303912,0.00113516474816763,0.969712449321441
13053.5559525856,0.329803695924772,0.0688925736634129,0.601303730411815,0.0291232664818779,0.00115307330677534,0.969723660211347
13495.6852027376,0.329727936609618,0.0696023642703078,0.600669699120074,0.0290941670499597,0.00117126402881625,0.969734568921224
13952.7895504455,0.329649557890752,0.0703189052830905,0.600031536826157,0.0290650875040741,0.00118974134896173,0.969745171146964
14425.376208355,0.329568537111172,0.0710422493853836,0.599389213503444,0.0290360277121226,0.00120850977123907,0.969755462516638
14913.9695686108,0.329484851510744,0.0717724494342671,0.598742699054989,0.0290069875404487,0.00122757387010546,0.969765438589446
15419.1117847326,0.329398478227738,0.0725095584554344,0.598091963316827,0.0289779668538146,0.00124693829153815,0.969775094854647
15941.3633732007,0.329309394300418,0.0732536296382091,0.597436976061373,0.0289489655153788,0.0012666077541412,0.96978442673048
16481.3038354161,0.329217576668689,0.0740047163304204,0.596777707000891,0.028919983386672,0.00128658705026902,0.969793429563059
17039.5323007284,0.329123002175803,0.0747628720331352,0.596114125791062,0.0288910203275738,0.00130688104716683,0.969802098625259
17616.6681912418,0.329025647570116,0.0755281503952454,0.595446202034638,0.0288620761962884,0.00132749468812843,0.969810429115583
18213.3519091392,0.328925489506912,0.0763006052079085,0.594773905285179,0.0288331508493206,0.00134843299367147,0.969818416157008
18830.2455472859,0.328822504550277,0.0770802903988392,0.594097205050883,0.0288042441414506,0.00136970106273045,0.969826054795819
19468.033623902,0.328716669175043,0.0778672600264511,0.593416070798506,0.0287753559257089,0.00139130407386771,0.969833340000423
20127.423842118,0.32860795976878,0.0786615682738462,0.592730471957374,0.0287464860533516,0.00141324728650276,0.969840266660146
20809.1478752574,0.328496352633866,0.0794632694426504,0.592040377923484,0.0287176343738337,0.00143553604216003,0.969846829584006
21513.9621787168,0.328381823989604,0.0802724179466942,0.591345758063701,0.0286888007347833,0.00145817576573551,0.969853023499481
22242.6488293448,0.328264349974414,0.0810890683055342,0.590646581720052,0.0286599849819752,0.00148117196678234,0.969858843051243
22996.016393251,0.32814390664808,0.0819132751378184,0.589942818214102,0.0286311869593041,0.00150453024081588,0.96986428279988
23774.9008230081,0.328020469994067,0.0827450931544884,0.589234436851445,0.0286024065087569,0.00152825627063819,0.969869337220605
24580.1663852423,0.327894015921907,0.0835845771518209,0.588521406926272,0.0285736434703855,0.0015523558276826,0.969874000701932
25412.7066196423,0.327764520269645,0.0844317820043047,0.58780369772605,0.0285448976822789,0.00157683477337829,0.969878267544343
26273.4453304493,0.327631958806351,0.0852867626573525,0.587081278536296,0.028516168980534,0.00160169906053534,0.969882131958931
27163.3376115301,0.327496307234711,0.086149574119845,0.586354118645443,0.0284874571992278,0.00162695473475063,0.969885588066022
28083.3709061691,0.327357541193677,0.0870202714565078,0.585622187349815,0.0284587621703876,0.00165260793583464,0.969888629893778
29034.5661027566,0.327215636261188,0.0878989097801174,0.584885453958694,0.0284300837239616,0.00167866489925961,0.969891251376779
30017.9786675878,0.327070567956966,0.0887855442435352,0.584143887799498,0.0284014216877889,0.00170513195762938,0.969893446354582
31034.699816031,0.326922311745379,0.0896802300315702,0.583397458223051,0.028372775887569,0.00173201554217108,0.96989520857026
32085.8577233625,0.326770843038377,0.0905830223526653,0.582646134608958,0.0283441461468312,0.00175932218424908,0.96989653166892
33172.6187766144,0.326616137198503,0.0914939764304107,0.581889886371086,0.0283155322869029,0.00178705851690154,0.969897409196195
34296.188868822,0.326458169541972,0.0924131474948775,0.58112868296315,0.0282869341268785,0.00181523127639968,0.969897834596722
35457.8147371081,0.326296915341832,0.0933405907737753,0.580362493884393,0.028258351483587,0.00184384730383037,0.969897801212583
36658.7853460893,0.326132349831189,0.0942763614834288,0.579591288685382,0.0282297841715593,0.00187291354670212,0.969897302281739
37900.4333181379,0.325964448206519,0.0952205148195756,0.578815036973905,0.0282012320029953,0.00190243706057492,0.96989633093643
39184.136412088,0.325793185631049,0.0961731059479813,0.57803370842097,0.0281726947877307,0.0019324250107142,0.969894880201555
40511.319052026,0.325618537238215,0.0971341899948713,0.577247272766914,0.028144172333203,0.00196288467376929,0.969892942993028
41883.4539078614,0.325440478135198,0.0981038220371803,0.576455699827622,0.0281156644444166,0.0019938234394767,0.969890512116107
43302.0635294328,0.325258983406542,0.0990820570926162,0.575658959500842,0.0280871709239091,0.0020252488123885,0.969887580263702
44768.7220359612,0.325074028117843,0.10006895010954,0.574857021772617,0.0280586915717147,0.00205716841362625,0.969884140014659
46285.0568627256,0.324885587319524,0.101064555956655,0.574049856723821,0.0280302261853295,0.00208958998266071,0.96988018383201
